GISJOIN,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,residuals,N_perc_area_flood
G24000504113033,0.19421203,0.801191911,0.62746125,0.371966778,1045.78525,0.0
G24000504113034,0.239925194,0.70120991,0.726907808,0.288042583,35797.91306,0.0
G24000504113061,0.249023888,0.868681466,0.437051681,0.341937851,6793.335016,0.0
G24000504113062,0.171383383,0.805839482,0.579907132,0.28248223,14410.72601,0.0
G24000504113063,0.187330524,0.817466519,0.631287829,0.370357671,17604.75153,0.0
G24000504113071,0.121664423,0.801986669,0.552159943,0.228856376,27781.2567,0.0
G24000504113072,0.136335634,0.819827711,0.552159943,0.200233258,31481.68517,0.221501901
G24000504113081,0.448177773,0.850251797,0.607261143,0.428524946,-36359.03805,0.0
G24000504113082,0.207754282,0.835481755,0.578176248,0.386090003,16747.90702,0.0
G24000504113083,0.252808522,0.789938726,0.582751347,0.36875785,17210.27706,0.0
G24000504113091,0.441242691,0.823103239,0.730165526,0.447758406,-7603.292767,0.000595831
G24000504113092,0.3670013,0.886363732,0.535589025,0.421731714,13146.83304,0.0
G24000504113093,0.63765037,0.920997735,0.570637559,0.634182233,79011.53692,0.0
G24000504114041,0.270241947,0.798506301,0.610346299,0.3597928,-7916.89117,0.0
G24000504114042,0.200339765,0.676365339,0.766894374,0.254214632,6289.180181,0.0
G24000504114061,0.412242555,0.78616624,0.7555582,0.396763768,-7611.529951,0.00480793
G24000504114062,0.241922167,0.731023292,0.750247218,0.303852143,25357.93376,0.0
G24000504114063,0.204442033,0.819412578,0.641592416,0.349363071,22330.40642,0.0
G24000504114071,0.20825753,0.654304746,0.701883435,0.176973269,21585.22354,0.0
G24000504114072,0.143430705,0.751888024,0.633146892,0.197559884,8728.044437,0.142846032
G24000504114073,0.147785466,0.796950232,0.569511453,0.206201123,15431.5601,0.0
G24000504114074,0.088325463,0.759636695,0.552159943,0.03902688,41957.42121,0.013700909
G24000504114075,0.113436019,0.819435341,0.552159943,0.156651149,18431.86208,0.322389601
G24000504114081,0.104410446,0.78811228,0.552159943,0.137945192,24573.38084,0.0
G24000504114082,0.149146926,0.742656521,0.638383117,0.200840889,15565.03425,0.0
G24000504114083,0.165149167,0.840466081,0.571785028,0.377549662,3800.386991,0.0
G24000504114091,0.276499716,0.827214941,0.56966988,0.359360309,12348.22588,0.0
G24000504114092,0.190661027,0.813773071,0.5875057,0.24908532,15636.31526,0.0
G24000504114093,0.15508122,0.841174183,0.552159943,0.310227023,6533.835938,0.0
G24000504114101,0.294778238,0.815520942,0.570170752,0.416628597,-32115.08364,0.0
G24000504114102,0.217293086,0.804538984,0.563358623,0.404819071,-10113.12994,0.0
G24000504114103,0.208393258,0.827039721,0.620567211,0.36166146,-13622.6138,0.0
G24000504201001,0.073585919,0.601672111,0.83469249,0.112957656,-3470.634154,0.076060084
G24000504201002,0.067433429,0.60224625,0.715915361,0.068946098,9655.408159,0.0
G24000504201003,0.087973465,0.625899839,0.962632928,0.143104678,-8046.103963,0.177695025
G24000504202001,0.052353973,0.626706245,0.552159943,0.065394582,36328.93443,0.0
G24000504202002,0.207413434,0.822774949,0.389975278,0.311068512,78738.06474,0.0
G24000504203011,0.053194935,0.658337343,0.552159943,0.026031252,29548.4106,0.0
G24000504203021,0.068887802,0.658570104,0.552159943,0.064712655,22902.00146,0.0
G24000504203022,0.075888667,0.650853182,0.552159943,0.050921095,24982.39374,0.0
G24000504203031,0.134951296,0.639523411,0.702170964,0.109268239,9345.820556,0.0
G24000504204011,0.058878724,0.62783566,0.552159943,0.038012565,17999.70347,0.0
G24000504204012,0.106404675,0.70620261,0.560853093,0.132190065,-9995.709869,0.0
G24000504204013,0.06854014,0.638465755,0.552159943,0.034092869,20046.73586,0.0
G24000504204014,0.082840795,0.641189129,0.552159943,0.061550848,22448.82121,0.0
