GISJOIN,MedianSalesPrice,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,per_area_flood,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,N_perc_area_flood,residuals
G24000509802001003,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504309003009,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504309003000,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504309002006,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504307003001,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504309003011,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504304001046,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504403001017,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504404001005,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504411012014,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504407011020,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504401001007,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504411023014,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504411023010,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504411023009,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504411024004,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504407011007,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504408001014,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504402002005,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504408001003,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504403001042,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504407021010,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504407012000,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504407012021,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504411011002,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504405001045,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
