GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,perc_fld_area,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,N_perc_area_flood,residuals
G24000504013012010,36,98250,1088.444444,65.27777778,2,1.055555556,0,0.065707976,0.655077078,0.6563147,-0.986360612,1,23360.46248
G24000504013012012,47,88500,1205.617021,64.29787234,2,1.085106383,0,0.08421026,0.661005604,0.6563147,-0.979105619,1,409.0682462
G24000504013012013,66,100750,1311.636364,66.81818182,2,1.727272727,0,0.100951379,0.64575748,0.6563147,-0.821448013,1,-31468.54124
G24000504013012016,40,107900,1313.9,66.35,2,1.85,0,0.101308821,0.648590026,0.6563147,-0.791317365,1,-31800.09375
G24000504013013001,43,94500,1194.325581,62.37209302,2,1.139534884,0,0.082427271,0.672656761,0.6563147,-0.965742933,1,2944.674019
G24000504013013002,70,99376.5,1275.771429,66.81428571,2,1.285714286,0,0.095288081,0.645781051,0.6563147,-0.929854577,1,-4626.165928
G24000504013013003,52,107900,1123.173077,67.92307692,1.336538462,1.461538462,0,0.071191844,0.639072754,0.884336678,-0.886688162,1,-7934.46181
G24000504013013008,56,125000,1351.375,50.14285714,1.517857143,1.642857143,0,0.107226359,0.746644861,0.822020112,-0.842172797,1,-30759.29604
G24000504013013013,34,131400,1369.647059,58.23529412,1.544117647,1.970588235,0,0.110111631,0.697684808,0.812994763,-0.76171187,1,-37839.40395
G24000504013013016,32,126000,1029.1875,65.03125,1.0625,1.78125,0,0.056350933,0.656568596,0.978519669,-0.808196108,1,-8303.148211
G24000504013013025,42,159000,1462.761905,75.4047619,1.285714286,1.952380952,0,0.124815049,0.593807812,0.9018042,-0.766181922,1,-11552.58374
G24000504013021006,54,106700,1208.814815,75.09259259,1.87037037,1.592592593,0,0.084715212,0.595696467,0.700866498,-0.854513196,1,-5558.649983
