STATEFP,COUNTYFP,TRACTCE,BLOCKCE,GEOID,NAME,MTFCC,UR,UACE,UATYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_area,Shape_len
24,510,270302,1008,245102703021008,Block 1008,G5040,U,04843,U,S,19042,0,+39.3455506,-076.5613871,G24051002703021008,19041.5650741,604.636769773
24,510,270102,1012,245102701021012,Block 1012,G5040,U,04843,U,S,7468,0,+39.3415828,-076.5596868,G24051002701021012,7467.59478847,347.648813523
24,510,270102,1013,245102701021013,Block 1013,G5040,U,04843,U,S,15568,0,+39.3404350,-076.5593058,G24051002701021013,15567.5383384,529.116401115
24,510,270401,4013,245102704014013,Block 4013,G5040,U,04843,U,S,8179,0,+39.3434391,-076.5557389,G24051002704014013,8178.95045508,473.229133786
24,510,200800,3007,245102008003007,Block 3007,G5040,U,04843,U,S,10535,0,+39.2826117,-076.6830097,G24051002008003007,10535.0151701,491.748857576
24,510,200701,2004,245102007012004,Block 2004,G5040,U,04843,U,S,3422,0,+39.2893136,-076.6739250,G24051002007012004,3422.02357286,286.765940023
24,510,200701,2013,245102007012013,Block 2013,G5040,U,04843,U,S,16475,0,+39.2864894,-076.6731141,G24051002007012013,16475.4278094,531.375837446
24,510,040100,2041,245100401002041,Block 2041,G5040,U,04843,U,S,3902,0,+39.2911085,-076.6217577,G24051000401002041,3901.73848808,297.939901788
24,510,040100,2039,245100401002039,Block 2039,G5040,U,04843,U,S,5925,0,+39.2907332,-076.6205337,G24051000401002039,5924.86469338,316.596182973
24,510,040100,1070,245100401001070,Block 1070,G5040,U,04843,U,S,4908,0,+39.2888294,-076.6216500,G24051000401001070,4907.69621656,317.98754991
24,510,040100,1067,245100401001067,Block 1067,G5040,U,04843,U,S,28767,0,+39.2885129,-076.6186088,G24051000401001067,28767.1865333,686.436067665
24,510,220100,1019,245102201001019,Block 1019,G5040,U,04843,U,S,49910,0,+39.2841252,-076.6218384,G24051002201001019,49910.3684126,850.495358245
24,510,220100,1020,245102201001020,Block 1020,G5040,U,04843,U,S,4755,0,+39.2846239,-076.6232290,G24051002201001020,4755.01699964,501.479712511
24,510,210100,2020,245102101002020,Block 2020,G5040,U,04843,U,S,3567,0,+39.2823411,-076.6277287,G24051002101002020,3566.58214947,247.218591292
24,510,210100,1029,245102101001029,Block 1029,G5040,U,04843,U,S,16224,0,+39.2790299,-076.6266702,G24051002101001029,16223.7134962,520.05458568
24,510,250207,2008,245102502072008,Block 2008,G5040,U,04843,U,S,2914,0,+39.2520843,-076.6234702,G24051002502072008,2914.1799702,222.646674797
24,510,250204,2003,245102502042003,Block 2003,G5040,U,04843,U,S,7582,0,+39.2502603,-076.6325340,G24051002502042003,7581.53951639,344.82384885
24,510,010100,1010,245100101001010,Block 1010,G5040,U,04843,U,S,4648,0,+39.2829216,-076.5752584,G24051000101001010,4648.2292909,274.417800029
24,510,230300,1026,245102303001026,Block 1026,G5040,U,04843,U,S,5577,0,+39.2663882,-076.6134357,G24051002303001026,5577.22690356,592.881086974
24,510,240400,2004,245102404002004,Block 2004,G5040,U,04843,U,S,43795,0,+39.2681168,-076.6096753,G24051002404002004,43794.9060779,1528.73834594
