         14418388 function calls (14086165 primitive calls) in 14.805 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      241    0.229    0.001    0.234    0.001 {built-in method io.open}
        1    0.000    0.000    0.233    0.233 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/joblib/__init__.py:1(<module>)
  172/154    0.001    0.000    0.232    0.002 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typing/templates.py:756(_build_impl)
    68/32    0.000    0.000    0.228    0.007 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typeinfer.py:558(__call__)
        1    0.000    0.000    0.224    0.224 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/sparse/_base.py:1(<module>)
     16/9    0.000    0.000    0.223    0.025 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/types/functions.py:531(get_call_type)
     16/9    0.000    0.000    0.223    0.025 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/dispatcher.py:304(get_call_template)
        1    0.000    0.000    0.221    0.221 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/sparse/_sputils.py:1(<module>)
        1    0.000    0.000    0.221    0.221 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/colors.py:1(<module>)
        1    0.000    0.000    0.220    0.220 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pyproj/__init__.py:1(<module>)
        1    0.000    0.000    0.220    0.220 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/_lib/_util.py:1(<module>)
     1893    0.004    0.000    0.219    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        1    0.000    0.000    0.219    0.219 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/compiler.py:1(<module>)
        1    0.000    0.000    0.217    0.217 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/_lib/_array_api.py:1(<module>)
    10006    0.011    0.000    0.216    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/frame.py:3988(_ixs)
        2    0.026    0.013    0.216    0.108 /Users/d3y010/repos/github/icom_abm/chance_c/model_engines/landscape_statistics.py:43(run)
1947472/1934594    0.138    0.000    0.215    0.000 {built-in method builtins.isinstance}
     1893    0.214    0.000    0.214    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.213    0.213 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopandas/io/file.py:96(_check_engine)
        2    0.000    0.000    0.213    0.106 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopandas/io/file.py:34(_import_fiona)
        1    0.000    0.000    0.210    0.210 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/fiona/__init__.py:1(<module>)
     2206    0.013    0.000    0.209    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.208    0.208 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopy/geocoders/arcgis.py:1(<module>)
        1    0.000    0.000    0.205    0.205 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopy/geocoders/base.py:1(<module>)
     7341    0.006    0.000    0.202    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopandas/geodataframe.py:1624(_geodataframe_constructor_sliced)
        1    0.000    0.000    0.195    0.195 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numpy/__config__.py:1(<module>)
        1    0.000    0.000    0.195    0.195 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/_lib/array_api_compat/numpy/__init__.py:1(<module>)
     7167    0.140    0.000    0.194    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/binding/ffi.py:195(__call__)
        1    0.000    0.000    0.191    0.191 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/arrays/arrow/array.py:1(<module>)
        1    0.000    0.000    0.191    0.191 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numpy/_core/__init__.py:1(<module>)
        1    0.000    0.000    0.190    0.190 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/linalg/__init__.py:1(<module>)
